a1|aH aH
wei2|wu ehL iH
wei3|wu ehL iL
wei4|wu ehH iL
wen1|wu elH nnH
wen2|wu elL nnH
wen3|wu elL nnL
wen4|wu elH nnL
weng1|wu elH ngH
weng3|wu elL ngL
weng4|wu elH ngL
wo1|wu uH oH
wo3|wu uL oL
wo4|wu uH oL
wu1|wu uH uH
wu2|wu uL uH
wu3|wu uL uL
wu4|wu uH uL
xi1|xi iH iH
xi2|xi iL iH
xi3|xi iL iL
xi4|xi iH iL
xia1|xi aH aH
xia2|xi aL aH
xia3|xi aL aL
xia4|xi aH aL
xian1|xi aH nnH
xian2|xi aL nnH
xian3|xi aL nnL
xian4|xi aH nnL
xiang1|xi aaH ngH
xiang2|xi aaL ngH
xiang3|xi aaL ngL
xiang4|xi aaH ngL
xiao1|xi aaH oH
xiao2|xi aaL oH
xiao3|xi aaL oL
xiao4|xi aaH oL
xie1|xi ehH ehH
xie2|xi ehL ehH
xie3|xi ehL ehL
xie4|xi ehH ehL
xin1|xi iH nnH
xin2|xi iL nnH
xin3|xi iL nnL
xin4|xi iH nnL
xing1|xi elH ngH
xing2|xi elL ngH
xing3|xi elL ngL
xing4|xi elH ngL
xiong1|xi uH ngH
xiong2|xi uL ngH
xiong4|xi uH ngL
xiu1|xi oH uH
xiu3|xi oL uL
xiu4|xi oH uL
xu1|uH uH
xu2|uL uH
xu3|uL uL
xu4|uH uL
xuan1|aH nnH
xuan2|aL nnH
xuan3|aL nnL
xuan4|aH nnL
xue1|xv vH vH
xue2|xv vL vH
xue3|xv vL vL
xue4|xv vH vL
xun1|elH nnH
xun2|elL nnH
xun4|elH nnL
ya1|yv aH aH
ya2|yv aL aH
ya3|yv aL aL
ya4|yv aH aL
yai2|yv aL ehH
yan1|yv aH nnH
yan2|yv aL nnH
yan3|yv aL nnL
yan4|yv aH nnL
yang1|yv aaH ngH
yang2|yv aaL ngH
yang3|yv aaL ngL
yang4|yv aaH ngL
yao1|yv aaH oH
yao2|yv aaL oH
yao3|yv aaL oL
yao4|yv aaH oL
ye1|yv elH elH
ye2|yv elL elH
ye3|yv elL elL
ye4|yv elH elL
yi1|yi iH iH
yi2|yi iL iH
yi3|yi iL iL
yi4|yi iH iL
yin1|yi iH nnH
yin2|yi iL nnH
yin3|yi iL nnL
yin4|yi iH nnL
ying1|yi elH ngH
ying2|yi elL ngH
ying3|yi elL ngL
ying4|yi elH ngL
yo1|yv uH oH
yo5|yv uM oM
yong1|yv uH ngH
yong2|yv uL ngH
yong3|yv uL ngL
yong4|yv uH ngL
you1|yv oH uH
you2|yv oL uH
you3|yv oL uL
you4|yv oH uL
yu1|yv uH uH
yu2|yv uL uH
yu3|yv uL uL
yu4|yv uH uL
yuan1|yv aH nnH
yuan2|yv aL nnH
yuan3|yv aL nnL
yuan4|yv aH nnL
yue1|yv vH vH
yue3|yv vL vL
yue4|yv vH vL
yun1|yv elH nnH
yun2|yv elL nnH
yun3|yv elL nnL
yun4|yv elH nnL
za1|Z aH aH
za2|Z aL aH
za3|Z aL aL
zai1|Z aH ehH
zai3|Z aL ehL
zai4|Z aH ehL
zan1|Z aH nnH
zan2|Z aL nnH
zan3|Z aL nnL
zan4|Z aH nnL
zang1|Z aaH ngH
zang3|Z aaL ngL
zang4|Z aaH ngL
zao1|Z aaH oH
